N	sigma	esponente	perc
50	0.039810717055349734	1	0.7473378361655487
50	0.039810717055349734	1	0.7860458713765298
50	0.039810717055349734	5	0.9785720862207404
50	0.039810717055349734	5	0.9795049404165259
50	0.039810717055349734	5	0.963798330953364
50	0.039810717055349734	5	0.9539468996178341
50	0.039810717055349734	5	0.9689339737117835
50	0.039810717055349734	5	0.9631270624837504
50	0.039810717055349734	10	0.9825084333588745
50	0.039810717055349734	10	0.9851823780517438
50	0.039810717055349734	10	0.9871612015566876
50	0.039810717055349734	10	0.9896150794581067
50	0.039810717055349734	10	0.9782829921495321
50	0.039810717055349734	10	0.9708259934075246
50	0.039810717055349734	20	0.9958167578241612
50	0.039810717055349734	20	0.9908856376480216
50	0.039810717055349734	20	0.9839469600933596
50	0.039810717055349734	20	0.9959157798777246
50	0.039810717055349734	20	0.9963112169394698
50	0.039810717055349734	20	0.9862978034718345
50	0.039810717055349734	30	0.9644752035231727
50	0.039810717055349734	30	0.9889829736339967
50	0.039810717055349734	30	0.9966982580904746
50	0.039810717055349734	30	0.979589496669571
50	0.039810717055349734	30	0.976676628953043
50	0.039810717055349734	30	0.9911119509509976
50	0.039810717055349734	40	0.9989415445057243
50	0.039810717055349734	40	0.9910587585773527
50	0.039810717055349734	40	0.9846912144830091
50	0.039810717055349734	40	0.9990845966259939
50	0.039810717055349734	40	0.9990908690063535
50	0.039810717055349734	40	0.98682332723731
50	0.039810717055349734	50	0.9950142609896209
50	0.039810717055349734	50	0.9874026268073695
50	0.039810717055349734	50	0.9972234153477051
50	0.039810717055349734	50	0.9954400057468703
50	0.039810717055349734	50	0.9984896694955583
50	0.039810717055349734	50	0.9997932849324059
50	0.06309573444801933	1	0.6519959102116661
50	0.06309573444801933	1	0.6713983918394373
50	0.06309573444801933	1	0.6862256564924326
50	0.06309573444801933	1	0.6548560344101754
50	0.06309573444801933	1	0.6375768322535859
50	0.06309573444801933	1	0.6164181457448814
50	0.06309573444801933	5	0.8969995556617499
50	0.06309573444801933	5	0.9402516650707254
50	0.06309573444801933	5	0.8689565583768485
